Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Location,Device_Type,Transaction_Status,Is_Fraudulent,Is_Fraudulent_Predicted,Correct_Prediction
1001,2001,1500.5,Online,2025-03-10 10:00:00,Mumbai,Mobile,Completed,0,0,True
1002,2002,7800.75,Offline,2025-03-10 11:00:00,Delhi,Desktop,Completed,0,0,True
1003,2003,25000.0,Online,2025-03-10 12:00:00,Bangalore,Laptop,Completed,0,0,True
1004,2004,500.0,Offline,2025-03-10 13:00:00,Chennai,Tablet,Completed,0,0,True
1005,2005,10000.25,Online,2025-03-10 14:00:00,Kolkata,Mobile,Completed,0,0,True
1006,2006,3000.8,Offline,2025-03-10 15:00:00,Pune,Desktop,Completed,0,0,True
1007,2007,450.0,Online,2025-03-10 16:00:00,Hyderabad,Laptop,Completed,0,0,True
1008,2008,50000.0,Offline,2025-03-10 17:00:00,Ahmedabad,Tablet,Completed,0,0,True
1009,2009,750.99,Online,2025-03-10 18:00:00,Jaipur,Mobile,Completed,0,0,True
1010,2010,12000.5,Offline,2025-03-10 19:00:00,Surat,Desktop,Completed,0,0,True
1011,2011,670.25,Online,2025-03-10 20:00:00,Lucknow,Laptop,Completed,0,0,True
1012,2012,8900.4,Offline,2025-03-10 21:00:00,Kanpur,Tablet,Completed,0,0,True
1013,2013,27500.3,Online,2025-03-10 22:00:00,Nagpur,Mobile,Completed,0,0,True
1014,2014,250.0,Offline,2025-03-10 23:00:00,Visakhapatnam,Desktop,Completed,0,0,True
1015,2015,4500.9,Online,2025-03-11 00:00:00,Indore,Laptop,Completed,0,0,True
1016,2016,3050.75,Offline,2025-03-11 01:00:00,Thane,Tablet,Completed,0,0,True
1017,2017,620.0,Online,2025-03-11 02:00:00,Bhopal,Mobile,Completed,0,0,True
1018,2018,18000.0,Offline,2025-03-11 03:00:00,Patna,Desktop,Completed,0,0,True
1019,2019,295.25,Online,2025-03-11 04:00:00,Vadodara,Laptop,Completed,0,0,True
1020,2020,7200.8,Offline,2025-03-11 05:00:00,Ghaziabad,Tablet,Completed,0,0,True
1021,2021,410.0,Online,2025-03-11 06:00:00,Ludhiana,Mobile,Completed,0,0,True
1022,2022,5800.0,Offline,2025-03-11 07:00:00,Agra,Desktop,Completed,0,0,True
1023,2023,33500.4,Online,2025-03-11 08:00:00,Nashik,Laptop,Completed,0,0,True
1024,2024,999.5,Offline,2025-03-11 09:00:00,Faridabad,Tablet,Completed,0,0,True
1025,2025,21500.3,Online,2025-03-11 10:00:00,Meerut,Mobile,Completed,0,0,True
1026,2026,150.25,Offline,2025-03-11 11:00:00,Rajkot,Desktop,Completed,0,0,True
1027,2027,3400.75,Online,2025-03-11 12:00:00,Varanasi,Laptop,Completed,0,0,True
1028,2028,29500.6,Offline,2025-03-11 13:00:00,Srinagar,Tablet,Completed,0,0,True
1029,2029,275.0,Online,2025-03-11 14:00:00,Aurangabad,Mobile,Completed,0,0,True
1030,2030,11500.9,Offline,2025-03-11 15:00:00,Dhanbad,Desktop,Completed,0,0,True
